exchange_id,scooter_id,swapIn_X,swapIn_Y,trip_1_distance,swapout_X,swapout_Y,trip_last_distance,total_distance
f8c59809-6c80-46a9-87a5-99cf7cdcfd3c,03a6729f-8045-4ada-9110-3ec91079c83c,198030.68511223717,2507671.071567464,0.2,194327.4049099363,2488021.9779266063,8.5,16400.000000000004
0c94410b-48c3-40dc-8daf-207955fb9e32,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,19.700000000000003,198030.68511223717,2507671.071567464,2.2,19700.000000000004
1a6a0549-eafe-4206-889f-6a8a5b84fc2e,03a6729f-8045-4ada-9110-3ec91079c83c,194327.4049099363,2488021.9779266063,10.4,200716.1501312906,2491363.867000535,12.0,10400.0
620ccf19-c3e3-4f70-a7f8-dde0cbe03914,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,17.5,194327.4049099363,2488021.9779266063,8.700000000000001,24100.0
d6d57dd9-3dc6-46be-b31e-7de636077e02,03a6729f-8045-4ada-9110-3ec91079c83c,203140.18674812707,2479853.3122367198,4.4,199385.13441989318,2482671.132000322,1.4000000000000001,4700.0
d9a1692d-3272-4267-b091-86a3b705d6d6,03a6729f-8045-4ada-9110-3ec91079c83c,203140.18674812707,2479853.3122367198,9.5,203140.18674812707,2479853.3122367198,9.4,11700.0
635c1167-d9cd-4127-8b7f-c50dedc7998f,03a6729f-8045-4ada-9110-3ec91079c83c,194268.69285183673,2485727.628316323,3.3000000000000003,203140.18674812707,2479853.3122367198,14.0,3300.0000000000005
ed627870-b0bb-4805-b504-d257618001a4,03a6729f-8045-4ada-9110-3ec91079c83c,203140.18674812707,2479853.3122367198,3.9000000000000004,194268.69285183673,2485727.628316323,0.1,25900.000000000004
6cb5c054-b458-439d-bf32-adc119de5304,03a6729f-8045-4ada-9110-3ec91079c83c,194268.69285183673,2485727.628316323,1.5,199385.13441989318,2482671.132000322,0.30000000000000004,20400.000000000004
033554a8-3d2e-4c67-846b-62c1780f9edc,03a6729f-8045-4ada-9110-3ec91079c83c,203099.00706960037,2479853.4370529847,5.2,194268.69285183673,2485727.628316323,1.9000000000000001,7400.0
8658eac4-116c-4484-a488-99d97f388e67,03a6729f-8045-4ada-9110-3ec91079c83c,203140.18674812707,2479853.3122367198,2.8000000000000003,203099.00706960037,2479853.4370529847,9.4,9400.0
7df347dd-5bf9-4f44-97ac-a46e5f44e9f0,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,9.0,203140.18674812707,2479853.3122367198,4.2,19500.0
8353e3ab-6694-4c65-98fa-2fa56f3450e0,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,9.0,199385.13441989318,2482671.132000322,0.9,30200.0
440ae4e5-92ce-4773-838a-0aa9522ac1ac,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,8.700000000000001,200716.1501312906,2491363.867000535,3.4000000000000004,23600.0
b9abccc8-52f6-43bc-bfc1-ed893e9b68ee,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,3.1,199385.13441989318,2482671.132000322,13.700000000000001,20300.000000000004
473e40c4-796b-4f56-8455-3675442a7e84,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,9.0,193940.68119286955,2485889.486966598,0.7000000000000001,13600.000000000002
de05bfe2-651f-48b3-8a43-2562bab2f427,03a6729f-8045-4ada-9110-3ec91079c83c,204296.06822762944,2494002.582058292,16.400000000000002,199385.13441989318,2482671.132000322,1.4000000000000001,17500.0
5ae9911d-f2fe-48f5-92df-0cf03267dbe4,03a6729f-8045-4ada-9110-3ec91079c83c,197381.5491196521,2506844.2377449065,2.9000000000000004,202047.94901739745,2504851.213601172,7.2,2900.0000000000005
691aa0d5-28bd-47a9-a92f-bafdeeec1434,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,18.8,197381.5491196521,2506844.2377449065,18.8,18800.0
b9dd066b-0247-42ba-a126-39753f825aab,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,10.200000000000001,200716.1501312906,2491363.867000535,10.200000000000001,10200.000000000002
5b1b872a-e983-4356-ba82-2992399c47a5,03a6729f-8045-4ada-9110-3ec91079c83c,199385.13441989318,2482671.132000322,0.8,199385.13441989318,2482671.132000322,0.9,4800.000000000001
0d40982c-a91b-4adf-8402-a7bc82b5c8fe,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,10.8,199385.13441989318,2482671.132000322,0.1,15100.0
53ef9600-d28e-4795-a996-810706c74aee,03a6729f-8045-4ada-9110-3ec91079c83c,202047.94901739745,2504851.213601172,3.3000000000000003,200716.1501312906,2491363.867000535,13.0,3300.0000000000005
c7940630-d731-4aad-8d12-fb090b848a17,03a6729f-8045-4ada-9110-3ec91079c83c,197182.36408291745,2507791.025569529,0.7000000000000001,202047.94901739745,2504851.213601172,5.9,1800.0000000000002
16111936-bb7e-45db-91a8-22089c43f256,03a6729f-8045-4ada-9110-3ec91079c83c,200716.1501312906,2491363.867000535,22.1,197182.36408291745,2507791.025569529,22.1,22100.0
6d64c73a-d511-4edb-b3c1-e09c05b68eff,03a6729f-8045-4ada-9110-3ec91079c83c,202047.94901739745,2504851.213601172,20.900000000000002,202563.4485591085,2488056.433929821,20.900000000000002,20900.000000000004
